Essential Genes	Chokepoint Reactions	Essential chokepoint genes
tr_Q9RWV1_Q9RWV1_DEIRA	EX_mn2_e	tr_Q9RVJ6_Q9RVJ6_DEIRA
sp_Q9RYA6_NSAR_DEIRA	TNTR4	sp_Q9RUB5_DXS_DEIRA
tr_Q9RU07_Q9RU07_DEIRA	GLBRAN2	sp_Q9RUL7_PDXS_DEIRA
tr_Q9RSE7_Q9RSE7_DEIRA	DHEDAA	tr_Q9RWT6_Q9RWT6_DEIRA
sp_Q9RU74_ILVC_DEIRA	SPT_syn	sp_Q9RT73_COAE_DEIRA
tr_Q9RXB8_Q9RXB8_DEIRA	DXPS	tr_Q9RVZ7_Q9RVZ7_DEIRA
sp_Q9RRE9_KCY_DEIRA	TCYNTtpp	sp_Q9RXL3_MURE_DEIRA
tr_Q9RTK8_Q9RTK8_DEIRA	EX_arg__L_e	tr_Q9RUD6_Q9RUD6_DEIRA
sp_Q9RRB6_SLPA_DEIRA	EX_glyclt_e	sp_Q9RW61_GLMU_DEIRA
tr_Q9RTM4_Q9RTM4_DEIRA	TRPabc	tr_Q9RVU7_Q9RVU7_DEIRA
sp_Q9RTP8_MNTH_DEIRA	NOVBCNtpp	tr_Q9RR65_Q9RR65_DEIRA
tr_Q9RR62_Q9RR62_DEIRA	GLBRAN3	tr_Q9RUJ1_Q9RUJ1_DEIRA
tr_Q9RVZ7_Q9RVZ7_DEIRA	QMO2	sp_Q9RUP2_PGK_DEIRA
tr_Q9RUD6_Q9RUD6_DEIRA	EX_ind3ac_e	sp_Q9RUA9_LEU1_DEIRA
tr_Q9RVL9_Q9RVL9_DEIRA	PPK2	tr_Q9RYB8_Q9RYB8_DEIRA
tr_Q9RX55_Q9RX55_DEIRA	CO2tex	tr_Q9RXU1_Q9RXU1_DEIRA
sp_P50933_LDH_DEIRA	OMCDC	tr_Q9RVL9_Q9RVL9_DEIRA
tr_Q9RZC5_Q9RZC5_DEIRA	DHAD2	sp_Q9RWM4_COAD_DEIRA
spontaneous	FMNAT	sp_Q9RTD0_MRAY_DEIRA
sp_Q9RW61_GLMU_DEIRA	T6PGD	tr_Q9RX38_Q9RX38_DEIRA
tr_Q9RT70_Q9RT70_DEIRA	EX_metox_e	tr_Q9RWV1_Q9RWV1_DEIRA
sp_Q9RYB2_GLYA_DEIRA	SUCCt	sp_Q9RU84_DXR_DEIRA
sp_Q9RSQ3_GLMM_DEIRA	LCTSt3ipp	tr_Q9RXZ9_Q9RXZ9_DEIRA
tr_Q9RU01_Q9RU01_DEIRA	DPCOAK	sp_Q9RYA6_NSAR_DEIRA
tr_Q9RU76_Q9RU76_DEIRA	EX_cu2_e	sp_Q9RTP8_MNTH_DEIRA
tr_Q9RXQ2_Q9RXQ2_DEIRA	KARI_23dhmp_1	sp_Q9RY40_KTHY_DEIRA
sp_Q9RXC9_ISPG_DEIRA	HPACt2r	
sp_Q9RYX0_PDXY_DEIRA	GLU5K	
tr_Q9RUX5_Q9RUX5_DEIRA	SHCHCS3	
sp_Q9RXS6_ISPF_DEIRA	OCTDPS	
sp_Q9RR90_ISPD_DEIRA	ACOAD1f	
sp_Q9RWM6_METK_DEIRA	ilvg	
